Time	Open	High	Low	Close	Volume
2021-09-06 20:45:00	1.08619	1.08622	1.08617	1.0862	483
2021-09-06 20:50:00	1.08619	1.08619	1.08609	1.08611	228
2021-09-06 20:55:00	1.08611	1.08611	1.08566	1.08582	36
2021-09-06 21:00:00	1.0858	1.0861	1.08566	1.08585	5
2021-09-06 21:05:00	1.08585	1.08608	1.08585	1.08608	4
2021-09-06 21:10:00	1.08585	1.08607	1.0858	1.08582	42
2021-09-06 21:15:00	1.08587	1.0861	1.0858	1.08581	45
2021-09-06 21:20:00	1.0858	1.08584	1.0858	1.08581	20
2021-09-06 21:25:00	1.0858	1.08582	1.0858	1.0858	57
2021-09-06 21:30:00	1.0858	1.08628	1.0858	1.08626	152
2021-09-06 21:35:00	1.08627	1.08633	1.08625	1.08629	101
2021-09-06 21:40:00	1.08629	1.08635	1.08623	1.08629	80
2021-09-06 21:45:00	1.08618	1.08621	1.08592	1.08607	95
2021-09-06 21:50:00	1.08608	1.08637	1.08575	1.08575	156
2021-09-06 21:55:00	1.08573	1.08631	1.08573	1.08619	297
2021-09-06 22:00:00	1.08621	1.08673	1.08621	1.08659	139
2021-09-06 22:05:00	1.08659	1.08661	1.08646	1.08653	64
2021-09-06 22:10:00	1.08654	1.08659	1.08645	1.0865	73
2021-09-06 22:15:00	1.08648	1.08651	1.08647	1.08651	28
2021-09-06 22:20:00	1.08652	1.08655	1.0865	1.08654	22
2021-09-06 22:25:00	1.08655	1.08656	1.08652	1.08652	15
2021-09-06 22:30:00	1.08652	1.08653	1.08651	1.08652	12
2021-09-06 22:35:00	1.08651	1.08656	1.08651	1.08652	13
2021-09-06 22:40:00	1.08651	1.08654	1.08642	1.08652	31
2021-09-06 22:45:00	1.08653	1.08653	1.08653	1.08653	1
2021-09-06 22:50:00	1.08652	1.08653	1.08646	1.08648	12
2021-09-06 22:55:00	1.08649	1.08652	1.08643	1.08651	24
2021-09-06 23:00:00	1.08651	1.08651	1.08643	1.08648	32
2021-09-06 23:05:00	1.0865	1.08651	1.0864	1.08641	43
2021-09-06 23:10:00	1.08643	1.08645	1.08637	1.08641	26
2021-09-06 23:15:00	1.08641	1.08641	1.08638	1.0864	18
2021-09-06 23:20:00	1.0864	1.08647	1.08638	1.08639	26
2021-09-06 23:25:00	1.08638	1.08641	1.08634	1.08639	39
2021-09-06 23:30:00	1.08639	1.08639	1.08636	1.08637	20
2021-09-06 23:35:00	1.08638	1.08645	1.08635	1.08635	40
2021-09-06 23:40:00	1.08637	1.0864	1.08635	1.08635	34
2021-09-06 23:45:00	1.08635	1.08635	1.08627	1.08633	31
2021-09-06 23:50:00	1.08633	1.08636	1.08629	1.0863	38
2021-09-06 23:55:00	1.08631	1.08639	1.08626	1.08626	87
2021-09-07 00:00:00	1.08625	1.08638	1.08624	1.08637	120
2021-09-07 00:05:00	1.08637	1.08645	1.08631	1.08639	119
2021-09-07 00:10:00	1.08639	1.08642	1.08636	1.08637	165
2021-09-07 00:15:00	1.08638	1.08646	1.08637	1.08643	165
2021-09-07 00:20:00	1.08643	1.08645	1.08634	1.08634	46
2021-09-07 00:25:00	1.08635	1.08639	1.08627	1.08627	63
2021-09-07 00:30:00	1.08627	1.08637	1.08622	1.08622	137
2021-09-07 00:35:00	1.08622	1.08631	1.08621	1.08623	75
2021-09-07 00:40:00	1.08623	1.08623	1.08611	1.08614	102
2021-09-07 00:45:00	1.08614	1.08618	1.08604	1.08605	136
2021-09-07 00:50:00	1.08605	1.08605	1.0859	1.08592	114
2021-09-07 00:55:00	1.08596	1.08598	1.0858	1.08581	150
2021-09-07 01:00:00	1.08583	1.08592	1.08575	1.08575	204
2021-09-07 01:05:00	1.08577	1.08583	1.08571	1.08576	122
2021-09-07 01:10:00	1.08576	1.08579	1.08572	1.08578	489
2021-09-07 01:15:00	1.08578	1.08581	1.08575	1.0858	30
2021-09-07 01:20:00	1.08579	1.08591	1.08579	1.08589	66
2021-09-07 01:25:00	1.08589	1.08589	1.08576	1.08576	85
2021-09-07 01:30:00	1.08578	1.08585	1.08578	1.08585	79
2021-09-07 01:35:00	1.08584	1.08586	1.08577	1.08579	70
2021-09-07 01:40:00	1.0858	1.08585	1.08575	1.08577	71
2021-09-07 01:45:00	1.08577	1.08577	1.0857	1.08572	64
2021-09-07 01:50:00	1.08572	1.08611	1.08572	1.08611	123
2021-09-07 01:55:00	1.08611	1.08612	1.08599	1.08602	78
2021-09-07 02:00:00	1.08602	1.08602	1.08587	1.08587	50
2021-09-07 02:05:00	1.08588	1.0859	1.08586	1.08586	36
2021-09-07 02:10:00	1.08584	1.08591	1.08581	1.08581	134
2021-09-07 02:15:00	1.08581	1.08584	1.08578	1.08579	55
2021-09-07 02:20:00	1.0858	1.08585	1.0858	1.08584	56
2021-09-07 02:25:00	1.08583	1.08583	1.08574	1.08576	110
2021-09-07 02:30:00	1.08577	1.0858	1.08565	1.08572	131
2021-09-07 02:35:00	1.08573	1.08573	1.08567	1.08568	45
2021-09-07 02:40:00	1.08568	1.08572	1.08568	1.0857	69
2021-09-07 02:45:00	1.0857	1.08571	1.08566	1.08569	43
2021-09-07 02:50:00	1.08568	1.08568	1.08539	1.08553	206
2021-09-07 02:55:00	1.08553	1.08554	1.08543	1.08543	87
2021-09-07 03:00:00	1.08544	1.08554	1.08541	1.08552	114
2021-09-07 03:05:00	1.08554	1.08561	1.08548	1.08561	106
2021-09-07 03:10:00	1.0856	1.0856	1.08547	1.08548	98
2021-09-07 03:15:00	1.08547	1.08556	1.08547	1.08552	128
2021-09-07 03:20:00	1.08549	1.08559	1.08549	1.08555	141
2021-09-07 03:25:00	1.08554	1.08555	1.0855	1.08552	64
2021-09-07 03:30:00	1.08552	1.08553	1.08548	1.08551	63
2021-09-07 03:35:00	1.08549	1.08555	1.08548	1.08549	55
2021-09-07 03:40:00	1.08549	1.08566	1.08547	1.0856	118
2021-09-07 03:45:00	1.0856	1.0857	1.08559	1.08559	58
2021-09-07 03:50:00	1.08559	1.08567	1.08559	1.08566	88
2021-09-07 03:55:00	1.08566	1.0857	1.08565	1.08565	73
2021-09-07 04:00:00	1.08566	1.0857	1.08565	1.08568	48
2021-09-07 04:05:00	1.08567	1.08568	1.08566	1.08567	15
2021-09-07 04:10:00	1.08567	1.08569	1.08562	1.08562	50
2021-09-07 04:15:00	1.08562	1.08566	1.08562	1.08566	23
2021-09-07 04:20:00	1.08566	1.08569	1.08565	1.08568	56
2021-09-07 04:25:00	1.08569	1.08578	1.08567	1.08567	122
2021-09-07 04:30:00	1.08567	1.08593	1.08562	1.08591	771
2021-09-07 04:35:00	1.08591	1.08591	1.08572	1.08574	149
2021-09-07 04:40:00	1.08574	1.08574	1.08553	1.08556	174
2021-09-07 04:45:00	1.08556	1.08556	1.08545	1.08551	142
2021-09-07 04:50:00	1.08552	1.08562	1.08541	1.08561	165
2021-09-07 04:55:00	1.08561	1.08574	1.08558	1.08573	110
2021-09-07 05:00:00	1.08573	1.08576	1.08565	1.08575	224
2021-09-07 05:05:00	1.08575	1.08575	1.08567	1.08574	226
2021-09-07 05:10:00	1.08574	1.08579	1.08568	1.08571	209
2021-09-07 05:15:00	1.08571	1.08572	1.08563	1.0857	99
2021-09-07 05:20:00	1.08569	1.08573	1.08562	1.08562	74
2021-09-07 05:25:00	1.08561	1.08564	1.08555	1.08561	111
2021-09-07 05:30:00	1.08564	1.08577	1.08563	1.08577	142
2021-09-07 05:35:00	1.08577	1.08585	1.08577	1.0858	90
2021-09-07 05:40:00	1.0858	1.08584	1.08571	1.08571	80
2021-09-07 05:45:00	1.0857	1.08589	1.0857	1.08589	79
2021-09-07 05:50:00	1.08589	1.08594	1.08585	1.08592	82
2021-09-07 05:55:00	1.08591	1.08605	1.08576	1.08578	202
